NAME,STATE,COUNTY,x,y
Barrow,AK,North Slope Borough,-156.796,71.29
Wainwright,AK,North Slope Borough,-160.041,70.635
Meade River,AK,North Slope Borough,-157.41,70.465
Kaktovik,AK,North Slope Borough,-143.642,70.133
Point Lay,AK,North Slope Borough,-163.093,69.72
Umiat,AK,North Slope Borough,-152.142,69.365
Point Hope,AK,North Slope Borough,-166.793,68.348
Anaktuvuk Pass,AK,North Slope Borough,-151.758,68.132
Arctic Village,AK,Yukon-Koyukuk Census Area,-145.542,68.132
Kivalina,AK,Northwest Arctic Borough,-164.52,67.722
Noatak,AK,Northwest Arctic Borough,-162.975,67.565
Big Lake,AK,Yukon-Koyukuk Census Area,-149.45,67.499
Chandalar,AK,Yukon-Koyukuk Census Area,-148.509,67.499
Nolan,AK,Yukon-Koyukuk Census Area,-150.234,67.473
Wiseman,AK,Yukon-Koyukuk Census Area,-150.108,67.415
Ambler,AK,Northwest Arctic Borough,-157.875,67.082
Venetie,AK,Yukon-Koyukuk Census Area,-146.425,67.015
Kiana,AK,Northwest Arctic Borough,-160.442,66.965
Kobuk,AK,Northwest Arctic Borough,-156.875,66.915
Bettles,AK,Yukon-Koyukuk Census Area,-151.7,66.907
Kotzebue,AK,Northwest Arctic Borough,-162.592,66.898
Shungnak,AK,Northwest Arctic Borough,-157.158,66.865
Noorvik,AK,Northwest Arctic Borough,-161.059,66.831
Chalkyitsik,AK,Yukon-Koyukuk Census Area,-143.724,66.649
Selawik,AK,Northwest Arctic Borough,-160.03,66.618
Fort Yukon,AK,Yukon-Koyukuk Census Area,-145.275,66.566
Allakaket,AK,Yukon-Koyukuk Census Area,-152.65,66.565
Beaver,AK,Yukon-Koyukuk Census Area,-147.399,66.357
Shishmaref,AK,Nome Census Area,-166.078,66.256
Hogatza,AK,Yukon-Koyukuk Census Area,-155.725,66.182
Deering,AK,Northwest Arctic Borough,-162.752,66.08
Hughes,AK,Yukon-Koyukuk Census Area,-154.258,66.048
Buckland,AK,Northwest Arctic Borough,-161.15,66.045
Kiwalik,AK,Northwest Arctic Borough,-161.851,66.026
Stevens Village,AK,Yukon-Koyukuk Census Area,-149.108,66.015
Candle,AK,Northwest Arctic Borough,-161.941,65.914
Circle,AK,Yukon-Koyukuk Census Area,-144.068,65.827
Diomede,AK,Nome Census Area,-168.925,65.747
Huslia,AK,Yukon-Koyukuk Census Area,-156.407,65.681
Wales,AK,Nome Census Area,-168.084,65.616
Central,AK,Yukon-Koyukuk Census Area,-144.811,65.574
